WXSC_Name,NedName,ClusterID,ra,dec,z_cmb,TTye,AxRatio,logW,logW_err,L_dist,ftot_W1,ftot_W1_err,magW1,magW1_err,MW1,MW1_err,MW1_debiased,MW1_debiased_err,bias_W1,MW1_final,MW1_final_err,ftot_W2,ftot_W2_err,magW2,magW2_err,MW2,MW2_err,MW2_debiased,MW2_debiased_err,bias_W2,MW2_final,MW2_final_err
2MASXJ00343551-5547236,NGC0159,A2806,8.6480,-55.7899,0.0275,Sa,0.4790,2.7160,0.0360,120.2400,19.6370,0.2200,10.6270,0.0123,-24.7733,0.0123,-24.7627,0.0124,-0.0106,-25.3525,0.0603,10.9920,0.1480,10.6455,0.0148,-24.7547,0.0148,-24.7386,0.0148,-0.0161,-25.4341,0.0711
2MASXJ00371583-5636583,2MASXJ00371583-5636583,A2806,9.3160,-56.6162,0.0242,Sb,0.7110,2.4550,0.0620,105.6100,5.4320,0.0650,12.0140,0.0131,-23.1045,0.0131,-22.9975,0.0169,-0.1069,-23.0267,0.0172,3.7040,0.0680,11.8022,0.0200,-23.3163,0.0200,-23.1827,0.0241,-0.1336,-23.2147,0.0243
2MASXJ00383446-5528017,2MASXJ00383446-5528017,A2806,9.6440,-55.4671,0.0281,Sb,0.7020,2.4720,0.0840,123.0000,6.3470,0.0970,11.8574,0.0167,-23.5922,0.0167,-23.5027,0.0190,-0.0895,-23.5468,0.0195,3.7970,0.1020,11.7902,0.0292,-23.6593,0.0292,-23.5455,0.0314,-0.1138,-23.5986,0.0318
2MASXJ00392547-5559041,2MASXJ00392547-5559041,A2806,9.8567,-55.9845,0.0274,Sb,0.4100,2.4020,0.0280,120.0000,1.6590,0.0270,13.3125,0.0178,-22.0834,0.0178,-21.9001,0.0255,-0.1833,-21.8825,0.0256,1.0580,0.0340,13.1745,0.0349,-22.2214,0.0349,-22.0083,0.0409,-0.2130,-21.9745,0.0411
2MASXJ00402459-5616503,2MASXJ00402459-5616503,A2806,10.1024,-56.2806,0.0238,Sb,0.7080,2.4520,0.0700,104.1800,3.1070,0.0550,12.6198,0.0193,-22.4691,0.0193,-22.3540,0.0225,-0.1151,-22.3805,0.0226,1.8460,0.0430,12.5562,0.0254,-22.5328,0.0254,-22.3930,0.0290,-0.1398,-22.4212,0.0291
2MASXJ00415167+3259286,UGC00442,N383,10.4656,32.9913,0.0169,Sc,0.5480,2.3940,0.0190,73.3500,3.7280,0.0700,12.3532,0.0205,-21.9738,0.0205,-21.8717,0.0229,-0.1021,-21.8717,0.0229,1.9820,0.0830,12.4028,0.0455,-21.9242,0.0455,-21.8078,0.0470,-0.1163,-21.8078,0.0470
NGC_0226,NGC226,N383,10.7252,32.5810,0.0151,Sb,0.8790,2.4200,0.0799,65.3200,16.9910,0.1980,10.7397,0.0128,-23.3356,0.0128,-23.2572,0.0150,-0.0784,-23.2555,0.0150,10.5100,0.1570,10.6308,0.0163,-23.4445,0.0163,-23.3635,0.0182,-0.0809,-23.3520,0.0183
2MASXJ00432098-5519369,ESO150-G020,A2806,10.8375,-55.3269,0.0273,Sc,0.4300,2.7310,0.0130,119.3300,19.9910,0.2280,10.5742,0.0125,-24.8096,0.0125,-24.7998,0.0126,-0.0097,-24.7998,0.0126,11.6500,0.1630,10.5218,0.0153,-24.8620,0.0153,-24.8481,0.0154,-0.0138,-24.8481,0.0154
2MASXJ00432946+3003092,CGCG500-077,N383,10.8728,30.0526,0.0153,Sa,0.5390,2.5050,0.0300,66.2400,4.8390,0.0600,12.1067,0.0136,-21.9989,0.0136,-21.9725,0.0139,-0.0264,-21.8831,0.0165,3.1670,0.0620,11.9451,0.0213,-22.1605,0.0213,-22.1400,0.0214,-0.0205,-22.0528,0.0232
2MASXJ00433663-5629148,2MFGC00532,A2806,10.9026,-56.4875,0.0250,Sb,0.4630,2.4440,0.0300,109.5000,2.5180,0.0390,12.8526,0.0169,-22.3445,0.0169,-22.2248,0.0207,-0.1197,-22.2442,0.0208,1.3530,0.0370,12.8994,0.0298,-22.2976,0.0298,-22.1544,0.0330,-0.1432,-22.1727,0.0331
